"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2,J4,J5,J1,J3";"BusBarConnection";5;"~";;;
2;"R12,R19,R24,R9,R18,R31,R32,R25,R17,R33,R10,R30,R23,R11,R16,R26";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";16;"1M";;;
3;"C16,C14,C5,C1,C101,C6,C12,C17,C11,C3,C18,C111,C9,C15,C2,C13,C8,C10,C7,C106,C112,C107,C4,C102";"ALH82A750CB600";24;"ALH82A750CB600";;;
4;"R29,R36,R14,R22,R2,R6,R5,R4,R7,R1,R8,R3";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";12;"4.7k";;;
5;"R13,R21,R35,R27,R28,R34,R20,R15";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";8;"0";;;
6;"Q4,Q2,Q3,Q5,Q6,Q1";"CM600HA-24H-PWR";6;"~";;;
7;"C100,C110,C90,C95,C85,C105";"B32774X__31.5_x_12.5_";6;"B32774X0205K000";;;
8;"IC9,IC3,IC6,IC5,IC4,IC8,IC7,IC10";"Allegro_CB_PFF";8;"ACS772ECB-400B-PFF-T";;;
9;"C97,C87,C96,C86,C91,C92";"C4AQNBW5200M3LJ";6;"C4AQNBW5200M3LJ";;;
10;"C99,C98,C103,C20,C88,C94,C108,C104,C93,C84,C89,C109";"B32652__18_x_9_";12;"B32652A0104K000";;;
11;"R62,R63,R64";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";3;"220";;;
12;"PS1";"RKE1205SH";1;"RKE-1205S_H";;;
13;"J8,J9";"PinSocket_1x10_P2.54mm_Vertical";2;"Conn_01x10_Socket";;;
14;"LED2,LED4,LED3";"LEDC3216X120N";3;"LTST-C230GKT";;;
15;"LED1";"LEDC3216X120N";1;"LTST-C230CKT";;;
16;"R65";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"1k";;;
17;"C55,C67,C61,C49,C43,C46,C64,C70,C58,C36,C40,C52";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";12;"10nF";;;
18;"Z12,Z8,Z23,Z18,Z7,Z6,Z4,Z14,Z19,Z22,Z13,Z1,Z20,Z15,Z10,Z21,Z9,Z17,Z3,Z2,Z11,Z16,Z5,Z24";"DIOM5436X247N";24;"1SMB5956BT3G";;;
19;"C19,C30,C68,C34,C32,C59,C38,C41,C53,C44,C56,C50,C27,C22,C24,C65,C47,C26,C62,C71";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";20;"100nF";;;
20;"C31,C28,C23,C33,C37,C21,C25,C29";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";8;"1uF";;;
21;"C35,C69,C66,C63,C51,C57,C39,C60,C48,C45,C54,C42";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";12;"1nF";;;
22;"J6";"L717SDB25PA4CH3R";1;"L717SDB25PA4CH3R";;;
